#interaction	Egene1	Egene2	dir	sign	biogrid	pubmed
Acetylation	E8520	E8370	1	0	biogrid	pmids:9427644
Ubiquitination	E7322	E267	1	0	biogrid	pmids:11724934
Ubiquitination	E613	E10273	1	0	biogrid	pmids:20675402
Ubiquitination	E51127	E7316	1	0	biogrid	pmids:22493164:19358823
Phosphorylation	E5599	E5609	1	0	biogrid	pmids:9207092:16533805:10713157
Phosphorylation	E1457	E9616	1	0	biogrid	pmids:12470599:10512750
Sumoylation	E7329	E11140	1	0	biogrid	pmids:17709345
Phosphorylation	E6885	E10454	1	0	biogrid	pmids:20538596:19232515
Phosphorylation	E2475	E1978	1	0	biogrid	pmids:16824195:12604610:15767663:16798736:15066126:17693255:15459249:18722121:12665511:21460630
Phosphorylation	E2475	E1979	1	0	biogrid	pmids:16798736
Phosphorylation	E6733	E6428	1	0	biogrid	pmids:9472028
Phosphorylation	E6733	E6426	1	0	biogrid	pmids:10196197:9472028:12565863
Phosphorylation	E6733	E6427	1	0	biogrid	pmids:9472028
modification	E51366	E11104	1	0	biogrid	pmids:19287380
Deubiquitination	E27005	E23032	1	0	biogrid	pmids:22626734
Phosphorylation	E5578	E653361	1	0	biogrid	pmids:12056906
Deubiquitination	E10617	E27338	1	0	biogrid	pmids:20622874
Ubiquitination	E7323	E27434	1	0	biogrid	pmids:17588522
Phosphorylation	E5310	E2011	1	0	biogrid	pmids:19011111
Sumoylation	E6613	E2353	1	0	biogrid	pmids:16055710
Phosphorylation	E5601	E3725	1	0	biogrid	pmids:8001819:8985011:19527717:17189706:8945519:10490605:19910486:8654373:16533805
Phosphorylation	E8533	E50813	1	0	biogrid	pmids:10903862
Phosphorylation	E9212	E220134	1	0	biogrid	pmids:22371557
Ubiquitination	E84675	E8027	1	0	biogrid	pmids:22626734
Methylation	E56950	E3320	1	0	biogrid	pmids:22028380
Deubiquitination	E7874	E63967	1	0	biogrid	pmids:19124652
Phosphorylation	E5578	E6402	1	0	biogrid	pmids:15192100
Ubiquitination	E330	E56616	1	0	biogrid	pmids:14960576:12525502:20957035:10929712
Ubiquitination	E7322	E26224	1	0	biogrid	pmids:10531035
Phosphorylation	E6788	E55233	1	0	biogrid	pmids:18362890
Ubiquitination	E4734	E2011	1	0	biogrid	pmids:19953087
Dephosphorylation	E5515	E1021	1	0	biogrid	pmids:10934208
Ubiquitination	E7334	E2161	1	0	biogrid	pmids:18838541
