#COLLAPSE=False
#dataset	gene_id	complex_id	dir	sign
reactome_cx	E8482	REACT20443	1	1
reactome_cx	E3688	REACT20443	1	1
reactome_cx	E4800	REACT148095	1	1
reactome_cx	E4801	REACT148095	1	1
reactome_cx	E6721	REACT148095	1	1
reactome_cx	E6720	REACT148095	1	1
reactome_cx	E6667	REACT148095	1	1
reactome_cx	E5588	REACT164911	1	1
reactome_cx	E84433	REACT164911	1	1
reactome_cx	E20969	REACT164912	1	1
reactome_cx	E7057	REACT164912	1	1
reactome_cx	E4615	REACT14253	1	1
reactome_cx	E1499	REACT164918	1	1
reactome_cx	E1303	REACT122963	1	1
reactome_cx	E8737	REACT2659	1	1
reactome_cx	E7124	REACT2659	1	1
reactome_cx	E7132	REACT2659	1	1
reactome_cx	E7186	REACT2659	1	1
reactome_cx	E8717	REACT2659	1	1
reactome_cx	E1300	REACT122964	1	1
reactome_cx	E462	REACT2653	1	1
reactome_cx	E5153	REACT2651	1	1
reactome_cx	E4893	REACT2657	1	1
reactome_cx	E3845	REACT2657	1	1
reactome_cx	E3265	REACT2657	1	1
reactome_cx	E1738	REACT3390	1	1
reactome_cx	E10892	REACT165355	1	1
reactome_cx	E8915	REACT165355	1	1
reactome_cx	E646626	REACT165355	1	1
reactome_cx	E5588	REACT165355	1	1
reactome_cx	E84433	REACT165355	1	1
reactome_cx	E8361	REACT27879	1	1
reactome_cx	E8360	REACT27879	1	1
reactome_cx	E8363	REACT27879	1	1
reactome_cx	E8362	REACT27879	1	1
reactome_cx	E8365	REACT27879	1	1
reactome_cx	E8364	REACT27879	1	1
reactome_cx	E8367	REACT27879	1	1
reactome_cx	E8366	REACT27879	1	1
reactome_cx	E8368	REACT27879	1	1
reactome_cx	E255626	REACT27879	1	1
reactome_cx	E8290	REACT27879	1	1
reactome_cx	E8349	REACT27879	1	1
reactome_cx	E8348	REACT27879	1	1
reactome_cx	E8294	REACT27879	1	1
reactome_cx	E8343	REACT27879	1	1
reactome_cx	E8342	REACT27879	1	1
reactome_cx	E8341	REACT27879	1	1
reactome_cx	E651610	REACT27879	1	1
reactome_cx	E5888	REACT27879	1	1
reactome_cx	E8346	REACT27879	1	1
reactome_cx	E8345	REACT27879	1	1
reactome_cx	E8344	REACT27879	1	1
reactome_cx	E8340	REACT27879	1	1
reactome_cx	E8347	REACT27879	1	1
reactome_cx	E128312	REACT27879	1	1
reactome_cx	E1019	REACT27879	1	1
reactome_cx	E8370	REACT27879	1	1
reactome_cx	E675	REACT27879	1	1
reactome_cx	E3018	REACT27879	1	1
reactome_cx	E672	REACT27879	1	1
reactome_cx	E8359	REACT27879	1	1
reactome_cx	E554313	REACT27879	1	1
reactome_cx	E121504	REACT27879	1	1
reactome_cx	E8339	REACT27879	1	1
reactome_cx	E11144	REACT27879	1	1
reactome_cx	E6118	REACT27879	1	1
reactome_cx	E6119	REACT27879	1	1
reactome_cx	E85236	REACT27879	1	1
reactome_cx	E6117	REACT27879	1	1
reactome_cx	E3017	REACT27879	1	1
reactome_cx	E3014	REACT27879	1	1
reactome_cx	E472	REACT27879	1	1
reactome_cx	E8970	REACT27879	1	1
reactome_cx	E7706	REACT117707	1	1
reactome_cx	E9470	REACT117707	1	1
reactome_cx	E51191	REACT117707	1	1
reactome_cx	E9246	REACT117707	1	1
reactome_cx	E25820	REACT117707	1	1
reactome_cx	E9636	REACT117707	1	1
reactome_cx	E4684	REACT18891	1	1
reactome_cx	E1463	REACT18891	1	1
reactome_cx	E3320	REACT117705	1	1
reactome_cx	E1956	REACT117705	1	1
reactome_cx	E11140	REACT117705	1	1
reactome_cx	E68652	REACT117876	1	1
reactome_cx	E2066	REACT117876	1	1
reactome_cx	E196743	REACT3389	1	1
reactome_cx	E7086	REACT3387	1	1
reactome_cx	E4686	REACT3837	1	1
reactome_cx	E22916	REACT3837	1	1
reactome_cx	E51692	REACT3837	1	1
reactome_cx	E29894	REACT3837	1	1
reactome_cx	E53981	REACT3837	1	1
reactome_cx	E2965	REACT3832	1	1
reactome_cx	E902	REACT3832	1	1
reactome_cx	E2967	REACT3832	1	1
reactome_cx	E2966	REACT3832	1	1
reactome_cx	E1022	REACT3832	1	1
reactome_cx	E653238	REACT3832	1	1
reactome_cx	E2968	REACT3832	1	1
reactome_cx	E4331	REACT3832	1	1
reactome_cx	E2068	REACT3832	1	1
reactome_cx	E652857	REACT3832	1	1
reactome_cx	E2071	REACT3832	1	1
reactome_cx	E5300	REACT26699	1	1
reactome_cx	E3661	REACT26699	1	1
reactome_cx	E6237	REACT26693	1	1
reactome_cx	E673	REACT26693	1	1
reactome_cx	E8570	REACT26697	1	1
reactome_cx	E3717	REACT116477	1	1
reactome_cx	E5618	REACT116477	1	1
reactome_cx	E3575	REACT116476	1	1
reactome_cx	E3574	REACT116476	1	1
reactome_cx	E3716	REACT116476	1	1
reactome_cx	E3561	REACT116476	1	1
reactome_cx	E3718	REACT116476	1	1
reactome_cx	E145957	REACT116475	1	1
reactome_cx	E1839	REACT116475	1	1
reactome_cx	E6464	REACT116475	1	1
reactome_cx	E2069	REACT116475	1	1
reactome_cx	E685	REACT116475	1	1
reactome_cx	E3084	REACT116475	1	1
reactome_cx	E9542	REACT116475	1	1
reactome_cx	E2066	REACT116475	1	1
reactome_cx	E3717	REACT116470	1	1
reactome_cx	E5618	REACT116470	1	1
reactome_cx	E145957	REACT116478	1	1
reactome_cx	E2885	REACT116478	1	1
reactome_cx	E9542	REACT116478	1	1
reactome_cx	E1839	REACT116478	1	1
reactome_cx	E2069	REACT116478	1	1
reactome_cx	E6654	REACT116478	1	1
reactome_cx	E685	REACT116478	1	1
reactome_cx	E3084	REACT116478	1	1
reactome_cx	E2064	REACT116478	1	1
reactome_cx	E2066	REACT116478	1	1
reactome_cx	E4552	REACT160328	1	1
reactome_cx	E841	REACT160329	1	1
reactome_cx	E3953	REACT170062	1	1
reactome_cx	E3952	REACT170062	1	1
reactome_cx	E3717	REACT170062	1	1
reactome_cx	E7157	REACT170067	1	1
reactome_cx	E728590	REACT170067	1	1
reactome_cx	E7311	REACT170067	1	1
reactome_cx	E732088	REACT170067	1	1
reactome_cx	E6233	REACT170067	1	1
reactome_cx	E3417	REACT26474	1	1
reactome_cx	E7157	REACT170069	1	1
reactome_cx	E56992	REACT26477	1	1
reactome_cx	E9453	REACT26473	1	1
reactome_cx	E5095	REACT3520	1	1
reactome_cx	E5096	REACT3520	1	1
reactome_cx	E3105	REACT76191	1	1
reactome_cx	E3106	REACT76191	1	1
reactome_cx	E3107	REACT76191	1	1
reactome_cx	E567	REACT76191	1	1
reactome_cx	E3135	REACT76191	1	1
reactome_cx	E3134	REACT76191	1	1
reactome_cx	E730410	REACT76191	1	1
reactome_cx	E51128	REACT76191	1	1
reactome_cx	E9632	REACT76191	1	1
reactome_cx	E9871	REACT76191	1	1
reactome_cx	E10484	REACT76191	1	1
reactome_cx	E10427	REACT76191	1	1
reactome_cx	E649853	REACT76191	1	1
reactome_cx	E10134	REACT76793	1	1
reactome_cx	E3105	REACT76793	1	1
reactome_cx	E3106	REACT76793	1	1
reactome_cx	E3107	REACT76793	1	1
reactome_cx	E567	REACT76793	1	1
reactome_cx	E3135	REACT76793	1	1
reactome_cx	E3134	REACT76793	1	1
reactome_cx	E730410	REACT76793	1	1
reactome_cx	E649853	REACT76793	1	1
reactome_cx	E2162	REACT4387	1	1
reactome_cx	E3714	REACT161188	1	1
reactome_cx	E7311	REACT161188	1	1
reactome_cx	E728590	REACT161188	1	1
reactome_cx	E54567	REACT161188	1	1
