#interaction	gene1	gene2	dir	sign	pubmed
hiv_human	E155459	E8266	0	0	pmids:22190034
hiv_human	E11261	E155945	0	0	pmids:22190034
hiv_human	E155971	E8907	0	0	pmids:22190034
hiv_human	E155971	E81502	0	0	pmids:22190034
hiv_human	E155971	E23184	0	0	pmids:22190034
hiv_human	E155971	E7184	0	0	pmids:22190034
hiv_human	E155807	E23456	0	0	pmids:22190034
hiv_human	E155908	E6742	0	0	pmids:22190034
hiv_human	E155348	E51236	0	0	pmids:22190034
hiv_human	E155945	E51144	0	0	pmids:22190034
hiv_human	E155030	E6897	0	0	pmids:22190034
hiv_human	E155971	E51150	0	0	pmids:22190034
hiv_human	E155348	E23066	0	0	pmids:22190034
hiv_human	E155971	E5034	0	0	pmids:22190034
hiv_human	E155945	E201931	0	0	pmids:22190034
hiv_human	E155971	E1678	0	0	pmids:22190034
hiv_human	E155807	E8834	0	0	pmids:22190034
hiv_human	E155908	E28957	0	0	pmids:22190034
hiv_human	E155807	E2873	0	0	pmids:22190034
hiv_human	E155807	E8540	0	0	pmids:22190034
hiv_human	E155348	E83481	0	0	pmids:22190034
hiv_human	E155807	E1781	0	0	pmids:22190034
hiv_human	E155945	E513	0	0	pmids:22190034
hiv_human	E155945	E515	0	0	pmids:22190034
hiv_human	E155971	E4716	0	0	pmids:22190034
hiv_human	E155945	E64328	0	0	pmids:22190034
hiv_human	E1047	E155971	0	0	pmids:22190034
hiv_human	E155971	E51495	0	0	pmids:22190034
hiv_human	E155348	E2800	0	0	pmids:22190034
hiv_human	E10946	E155348	0	0	pmids:22190034
hiv_human	E155807	E7374	0	0	pmids:22190034
hiv_human	E155348	E54107	0	0	pmids:22190034
hiv_human	E155030	E29119	0	0	pmids:22190034
hiv_human	E155871	E51574	0	0	pmids:22190034
hiv_human	E10273	E155459	0	0	pmids:22190034
hiv_human	E10142	E155348	0	0	pmids:22190034
hiv_human	E155348	E80349	0	0	pmids:22190034
hiv_human	E155971	E9908	0	0	pmids:22190034
hiv_human	E10146	E155971	0	0	pmids:22190034
hiv_human	E155908	E65244	0	0	pmids:22190034
hiv_human	E155871	E3189	0	0	pmids:22190034
hiv_human	E155971	E5717	0	0	pmids:22190034
hiv_human	E155459	E3300	0	0	pmids:22190034
hiv_human	E155971	E3949	0	0	pmids:22190034
hiv_human	E155971	E5713	0	0	pmids:22190034
hiv_human	E155348	E96459	0	0	pmids:22190034
hiv_human	E155348	E2235	0	0	pmids:22190034
hiv_human	E155807	E79016	0	0	pmids:22190034
hiv_human	E155030	E65003	0	0	pmids:22190034
hiv_human	E10067	E155945	0	0	pmids:22190034
hiv_human	E143	E155348	0	0	pmids:22190034
hiv_human	E155908	E57380	0	0	pmids:22190034
hiv_human	E155971	E5359	0	0	pmids:22190034
hiv_human	E155971	E84061	0	0	pmids:22190034
hiv_human	E155030	E57470	0	0	pmids:22190034
